condition,experiment,t=0 top,t=2.0 top,t=4.0 top,t=6.0 top,t=0 bottom,t=2.0 bottom,t=4.0 bottom,t=6.0 bottom
1,1,8500,22887,39578,64297,15,92,511,1727
1,2,8500,23128,39935,65514,15,141,662,2325
1,3,8500,22748,38778,63489,15,183,649,2137
1,4,8500,22425,38793,63500,15,114,624,1871
1,5,8500,23508,40080,65472,15,135,589,1916
1,6,8500,22533,38190,62598,15,105,436,1578
1,7,8500,22922,39071,64065,15,162,631,1948
1,8,8500,23022,39568,65245,15,117,497,1695
1,9,8500,23444,39487,65204,15,112,429,1620
1,10,8500,23436,39248,65179,15,128,576,1919
2,1,8500,22910,39019,64153,15,39,313,1056
2,2,8500,22669,38724,63261,15,52,291,1150
2,3,8500,23245,39724,65322,15,32,336,1189
2,4,8500,22999,39415,64596,15,10,239,1016
2,5,8500,22969,38961,64379,15,36,244,1032
2,6,8500,23362,39890,65416,15,32,278,1274
2,7,8500,23167,40240,65890,15,79,364,1241
2,8,8500,22803,39797,65777,15,24,251,905
2,9,8500,22732,38983,63637,15,84,502,1778
2,10,8500,23222,39501,65125,15,33,399,1359
3,1,8500,23226,40112,66295,15,150,488,1413
3,2,8500,23046,39508,64926,15,102,274,681
3,3,8500,23256,39954,65436,15,167,454,1202
3,4,8500,23520,39841,65771,15,163,467,1324
3,5,8500,23383,40295,65803,15,140,441,1198
3,6,8500,23072,39911,65860,15,137,353,944
3,7,8500,22800,39169,63895,15,138,418,1075
3,8,8500,23250,39697,66076,15,152,472,1429
3,9,8500,22877,39474,65529,15,153,425,1080
3,10,8500,22540,38912,63917,15,129,311,838
4,1,8500,22685,39057,64435,15,157,593,1691
4,2,8500,22682,38611,63789,15,88,392,1261
4,3,8500,23085,39294,65012,15,112,477,1240
4,4,8500,23732,40372,66485,15,139,657,1838
4,5,8500,22549,39111,64658,15,100,461,1246
4,6,8500,22601,38948,63309,15,190,730,2010
4,7,8500,23227,39500,65849,15,147,668,1760
4,8,8500,23176,38965,64322,15,164,758,2001
4,9,8500,23406,39400,65444,15,132,554,1747
4,10,8500,22897,39230,64694,15,104,433,961
